"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery "
"1","","","","","","",""
"2","CASES","","","","","",""
"3","64","0","","8","","",""
"4","","","","","","",""
"5","CANADA","","","","","",""
"6","Ontario","29","0","","","4","Source"
"7","British Columbia","27","0","","1","4","Source"
"8","Quebec","4","0","","","","Source"
"9","Alberta","4","0","","","","Source"
"10","Manitoba","0","0","","","",""
"11","Saskatchewan","0","0","","","",""
"12","Nova Scotia","0","0","","","",""
"13","New Brunswick","0","0","","","",""
"14","Newfoundland & Labrador","0","0","","","",""
"15","Prince Edward Island","0","0","","","",""
"16","Northwest Territories","0","0","","","",""
"17","Nunavut","0","0","","","",""
"18","Yukon","0","0","","","",""
"19","TOTAL","64","0","0","1","8",""
